Frames (30fps),Time (sec),Distance Elapsed(m),Propulsion Vel (m/s),Propulsion Acceleration (m/s^2),Propulsion Jerk (m/s^3)
252,8.4000,1.5851,0.3390
253,8.4333,1.5964,0.3390
254,8.4667,1.6077,0.3390
255,8.5000,1.6191,0.3420
256,8.5333,1.6305,0.3420
257,8.5667,1.6420,0.3450
258,8.6000,1.6535,0.3450
259,8.6333,1.6650,0.3450
260,8.6667,1.6765,0.3450
261,8.7000,1.6880,0.3450
262,8.7333,1.6996,0.3480
263,8.7667,1.7112,0.3480
264,8.8000,1.7229,0.3510
265,8.8333,1.7346,0.3510
266,8.8667,1.7463,0.3510
267,8.9000,1.7580,0.3510
268,8.9333,1.7697,0.3510
269,8.9667,1.7815,0.3540
270,9.0000,1.7933,0.3540
271,9.0333,1.8052,0.3570
272,9.0667,1.8170,0.3540
273,9.1000,1.8289,0.3570
274,9.1333,1.8409,0.3600
275,9.1667,1.8528,0.3570
276,9.2000,1.8648,0.3600
277,9.2333,1.8768,0.3600
278,9.2667,1.8888,0.3600
279,9.3000,1.9009,0.3630
280,9.3333,1.9130,0.3630
281,9.3667,1.9251,0.3630
282,9.4000,1.9372,0.3630
283,9.4333,1.9494,0.3660
284,9.4667,1.9616,0.3660
285,9.5000,1.9738,0.3660
286,9.5333,1.9860,0.3660
287,9.5667,1.9983,0.3690
288,9.6000,2.0106,0.3690
289,9.6333,2.0229,0.3690
290,9.6667,2.0352,0.3690
291,9.7000,2.0476,0.3720
292,9.7333,2.0600,0.3720
293,9.7667,2.0724,0.3720
294,9.8000,2.0848,0.3720
295,9.8333,2.0973,0.3750
296,9.8667,2.1098,0.3750
297,9.9000,2.1223,0.3750
298,9.9333,2.1348,0.3750
299,9.9667,2.1474,0.3780
300,10.0000,2.1600,0.3780
301,10.0333,2.1726,0.3780
302,10.0667,2.1852,0.3780
303,10.1000,2.1979,0.3810
304,10.1333,2.2106,0.3810
305,10.1667,2.2233,0.3810
306,10.2000,2.2360,0.3810
307,10.2333,2.2488,0.3840
308,10.2667,2.2616,0.3840
309,10.3000,2.2744,0.3840
310,10.3333,2.2872,0.3840
311,10.3667,2.3000,0.3840
312,10.4000,2.3129,0.3870
313,10.4333,2.3258,0.3870
314,10.4667,2.3387,0.3870
315,10.5000,2.3516,0.3870
316,10.5333,2.3646,0.3900
317,10.5667,2.3776,0.3900
318,10.6000,2.3906,0.3900
319,10.6333,2.4036,0.3900
320,10.6667,2.4166,0.3900
321,10.7000,2.4297,0.3930
322,10.7333,2.4428,0.3930
323,10.7667,2.4559,0.3930
324,10.8000,2.4690,0.3930
325,10.8333,2.4822,0.3960
326,10.8667,2.4954,0.3960
327,10.9000,2.5086,0.3960
328,10.9333,2.5218,0.3960
329,10.9667,2.5350,0.3960
330,11.0000,2.5483,0.3990
331,11.0333,2.5615,0.3960
332,11.0667,2.5748,0.3990
333,11.1000,2.5881,0.3990
334,11.1333,2.6015,0.4020
335,11.1667,2.6148,0.3990
336,11.2000,2.6282,0.4020
337,11.2333,2.6416,0.4020
338,11.2667,2.6550,0.4020
339,11.3000,2.6685,0.4050
340,11.3333,2.6819,0.4020
341,11.3667,2.6954,0.4050
342,11.4000,2.7089,0.4050
343,11.4333,2.7224,0.4050
344,11.4667,2.7359,0.4050
345,11.5000,2.7495,0.4080
346,11.5333,2.7630,0.4050
347,11.5667,2.7766,0.4080
348,11.6000,2.7902,0.4080
349,11.6333,2.8039,0.4110
350,11.6667,2.8175,0.4080
351,11.7000,2.8312,0.4110
352,11.7333,2.8448,0.4080
353,11.7667,2.8585,0.4110
354,11.8000,2.8722,0.4110
355,11.8333,2.8860,0.4140
356,11.8667,2.8997,0.4110
357,11.9000,2.9135,0.4140
358,11.9333,2.9273,0.4140
359,11.9667,2.9411,0.4140
360,12.0000,2.9549,0.4140
361,12.0333,2.9687,0.4140
362,12.0667,2.9826,0.4170
363,12.1000,2.9964,0.4140
364,12.1333,3.0103,0.4170
365,12.1667,3.0242,0.4170
366,12.2000,3.0381,0.4170
367,12.2333,3.0521,0.4200
368,12.2667,3.0660,0.4170
369,12.3000,3.0800,0.4200
370,12.3333,3.0939,0.4170
371,12.3667,3.1079,0.4200
372,12.4000,3.1219,0.4200
373,12.4333,3.1360,0.4230
374,12.4667,3.1500,0.4200
375,12.5000,3.1641,0.4230
376,12.5333,3.1781,0.4200
377,12.5667,3.1922,0.4230
378,12.6000,3.2063,0.4230
379,12.6333,3.2204,0.4230
380,12.6667,3.2346,0.4260
381,12.7000,3.2487,0.4230
382,12.7333,3.2629,0.4260
383,12.7667,3.2770,0.4230
384,12.8000,3.2912,0.4260
385,12.8333,3.3054,0.4260
386,12.8667,3.3196,0.4260
387,12.9000,3.3339,0.4290
388,12.9333,3.3481,0.4260
389,12.9667,3.3624,0.4290
390,13.0000,3.3766,0.4260
391,13.0333,3.3909,0.4290
392,13.0667,3.4052,0.4290
393,13.1000,3.4195,0.4290
394,13.1333,3.4338,0.4290
395,13.1667,3.4482,0.4320
396,13.2000,3.4625,0.4290
397,13.2333,3.4769,0.4320
398,13.2667,3.4912,0.4290
399,13.3000,3.5056,0.4320
400,13.3333,3.5200,0.4320
401,13.3667,3.5344,0.4320
402,13.4000,3.5488,0.4320
403,13.4333,3.5633,0.4350
404,13.4667,3.5777,0.4320
405,13.5000,3.5921,0.4320
406,13.5333,3.6066,0.4350
407,13.5667,3.6211,0.4350
408,13.6000,3.6356,0.4350
409,13.6333,3.6501,0.4350
410,13.6667,3.6646,0.4350
411,13.7000,3.6791,0.4350
412,13.7333,3.6936,0.4350
413,13.7667,3.7082,0.4380
414,13.8000,3.7227,0.4350
415,13.8333,3.7373,0.4380
416,13.8667,3.7519,0.4380
417,13.9000,3.7664,0.4350
418,13.9333,3.7810,0.4380
419,13.9667,3.7956,0.4380
420,14.0000,3.8102,0.4380
421,14.0333,3.8249,0.4410
422,14.0667,3.8395,0.4380
423,14.1000,3.8541,0.4380
424,14.1333,3.8688,0.4410
425,14.1667,3.8834,0.4380
426,14.2000,3.8981,0.4410
427,14.2333,3.9128,0.4410
428,14.2667,3.9275,0.4410
429,14.3000,3.9422,0.4410
430,14.3333,3.9569,0.4410
431,14.3667,3.9716,0.4410
432,14.4000,3.9863,0.4410
433,14.4333,4.0010,0.4410
434,14.4667,4.0158,0.4410
435,14.5000,4.0305,0.4410
436,14.5333,4.0452,0.4410
437,14.5667,4.0600,0.4440
438,14.6000,4.0748,0.4440
439,14.6333,4.0895,0.4410
440,14.6667,4.1043,0.4440
441,14.7000,4.1191,0.4440
442,14.7333,4.1339,0.4440
443,14.7667,4.1487,0.4440
444,14.8000,4.1635,0.4440
445,14.8333,4.1783,0.4440
446,14.8667,4.1932,0.4440
447,14.9000,4.2080,0.4440
448,14.9333,4.2228,0.4440
449,14.9667,4.2377,0.4470
450,15.0000,4.2525,0.4440
451,15.0333,4.2674,0.4470
452,15.0667,4.2822,0.4440
453,15.1000,4.2971,0.4470
454,15.1333,4.3119,0.4440
455,15.1667,4.3268,0.4470
456,15.2000,4.3417,0.4470
457,15.2333,4.3566,0.4470
458,15.2667,4.3715,0.4470
459,15.3000,4.3864,0.4470
460,15.3333,4.4013,0.4470
461,15.3667,4.4162,0.4470
462,15.4000,4.4311,0.4470
463,15.4333,4.4460,0.4470
464,15.4667,4.4609,0.4470
465,15.5000,4.4759,0.4500
466,15.5333,4.4908,0.4470
467,15.5667,4.5057,0.4470
468,15.6000,4.5207,0.4500
469,15.6333,4.5356,0.4470
470,15.6667,4.5505,0.4470
471,15.7000,4.5655,0.4500
472,15.7333,4.5804,0.4470
473,15.7667,4.5954,0.4500
474,15.8000,4.6104,0.4500
475,15.8333,4.6253,0.4470
476,15.8667,4.6403,0.4500
477,15.9000,4.6552,0.4470
478,15.9333,4.6702,0.4500
479,15.9667,4.6852,0.4500
480,16.0000,4.7002,0.4500
481,16.0333,4.7151,0.4470
482,16.0667,4.7301,0.4500
483,16.1000,4.7451,0.4500
484,16.1333,4.7601,0.4500
485,16.1667,4.7751,0.4500
486,16.2000,4.7901,0.4500
487,16.2333,4.8050,0.4470
488,16.2667,4.8200,0.4500
489,16.3000,4.8350,0.4500
490,16.3333,4.8500,0.4500
491,16.3667,4.8650,0.4500
492,16.4000,4.8800,0.4500
493,16.4333,4.8950,0.4500
494,16.4667,4.9100,0.4500
495,16.5000,4.9250,0.4500
496,16.5333,4.9400,0.4500
497,16.5667,4.9550,0.4500
498,16.6000,4.9700,0.4500
499,16.6333,4.9850,0.4500
500,16.6667,5.0000,0.4500
501,16.7000,5.0150,0.4500
502,16.7333,5.0300,0.4500
503,16.7667,5.0450,0.4500
504,16.8000,5.0600,0.4500
505,16.8333,5.0750,0.4500
506,16.8667,5.0900,0.4500
507,16.9000,5.1050,0.4500
508,16.9333,5.1200,0.4500
509,16.9667,5.1350,0.4500
510,17.0000,5.1500,0.4500
511,17.0333,5.1650,0.4500
512,17.0667,5.1800,0.4500
513,17.1000,5.1950,0.4500
514,17.1333,5.2099,0.4470
515,17.1667,5.2249,0.4500
516,17.2000,5.2399,0.4500
517,17.2333,5.2549,0.4500
518,17.2667,5.2699,0.4500
519,17.3000,5.2849,0.4500
520,17.3333,5.2998,0.4470
521,17.3667,5.3148,0.4500
522,17.4000,5.3298,0.4500
523,17.4333,5.3448,0.4500
524,17.4667,5.3597,0.4470
525,17.5000,5.3747,0.4500
526,17.5333,5.3896,0.4470
